epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
131,96.3722,0.87454,1.37888,2.11602,0.9634,0,0.84114,0.7796,0.8708,0.66862,0.83433,0.77993,0.86126,0.58117,0.78696,1.14086,1.9449,0.94752,0,0.000223711,0.000223711,0.000223711
132,192.761,0.85644,1.33153,1.99168,0.95519,0,0.85129,0.77203,0.87027,0.66709,0.84301,0.77075,0.85881,0.57586,0.79296,1.14147,1.93634,0.9492,0,0.000212609,0.000212609,0.000212609
133,328.995,0.86029,1.35306,1.99285,0.95717,0,0.83684,0.7845,0.87151,0.66863,0.83373,0.77865,0.86098,0.58228,0.79071,1.13283,1.92838,0.94899,0,0.000201507,0.000201507,0.000201507
134,422.253,0.84235,1.33046,1.96139,0.9527,0,0.84087,0.78861,0.87425,0.67667,0.83882,0.78715,0.86582,0.58855,0.77718,1.12466,1.90401,0.94675,0,0.000190405,0.000190405,0.000190405
135,513.799,0.85976,1.35247,1.99316,0.95743,0,0.84027,0.79621,0.87703,0.67641,0.84383,0.78572,0.86659,0.58663,0.78251,1.13337,1.88464,0.94665,0,0.000179303,0.000179303,0.000179303
136,609.532,0.85703,1.34673,1.96907,0.95243,0,0.84813,0.79046,0.87925,0.67756,0.85118,0.78018,0.86747,0.58839,0.77937,1.12484,1.86433,0.94677,0,0.0001682,0.0001682,0.0001682
137,704.827,0.85135,1.34179,1.97976,0.95208,0,0.84589,0.79129,0.87922,0.67875,0.84017,0.78393,0.86603,0.58713,0.77588,1.11869,1.87835,0.9455,0,0.000157098,0.000157098,0.000157098
138,801.736,0.86346,1.35733,2.0229,0.9593,0,0.84641,0.78518,0.87576,0.67203,0.84083,0.78187,0.86486,0.58615,0.78126,1.12688,1.89721,0.94593,0,0.000145996,0.000145996,0.000145996
139,895.421,0.85359,1.34826,1.99106,0.95559,0,0.84688,0.79117,0.88,0.67857,0.84247,0.78543,0.86622,0.58693,0.77666,1.12597,1.86793,0.9432,0,0.000134894,0.000134894,0.000134894
140,988.828,0.84788,1.33567,1.97311,0.94767,0,0.84155,0.79682,0.87845,0.6761,0.84324,0.78241,0.86426,0.58578,0.7782,1.1228,1.87988,0.94587,0,0.000123791,0.000123791,0.000123791
141,1067.2,0.86232,1.2899,2.04546,0.9639,0,0.85906,0.77123,0.87478,0.67108,0.85724,0.76576,0.85938,0.57943,0.7885,1.15162,1.91838,0.94991,0,0.000112689,0.000112689,0.000112689
142,1140.08,0.82488,1.24554,1.90394,0.949,0,0.83725,0.78612,0.87597,0.67028,0.83392,0.7741,0.86065,0.5767,0.79395,1.14946,1.91429,0.95089,0,0.000101587,0.000101587,0.000101587
143,1210.97,0.81689,1.2271,1.87786,0.94865,0,0.84845,0.7838,0.87748,0.67531,0.84468,0.77312,0.86238,0.58075,0.7875,1.13799,1.89733,0.94765,0,9.04848e-05,9.04848e-05,9.04848e-05
144,1280.42,0.81031,1.20958,1.86539,0.94176,0,0.83917,0.79391,0.8799,0.6767,0.83885,0.78357,0.86376,0.57964,0.78807,1.13906,1.88815,0.94531,0,7.93825e-05,7.93825e-05,7.93825e-05
145,1351.17,0.80716,1.20933,1.8501,0.94177,0,0.84239,0.79806,0.88297,0.68212,0.85462,0.78209,0.86862,0.58398,0.77974,1.12974,1.85791,0.94113,0,6.82803e-05,6.82803e-05,6.82803e-05
146,1421.97,0.80898,1.2153,1.85615,0.94373,0,0.83746,0.80213,0.88259,0.68221,0.84854,0.78243,0.86756,0.58525,0.78115,1.13309,1.86446,0.9422,0,5.71781e-05,5.71781e-05,5.71781e-05
147,1493.05,0.80572,1.2096,1.83974,0.93866,0,0.84789,0.79657,0.88415,0.68232,0.84893,0.78455,0.86882,0.58527,0.78144,1.13111,1.86387,0.94118,0,4.60759e-05,4.60759e-05,4.60759e-05
148,1563.36,0.80176,1.20618,1.83531,0.93991,0,0.84667,0.8019,0.88576,0.6863,0.84872,0.78996,0.87101,0.58782,0.77451,1.12366,1.83883,0.93876,0,3.49737e-05,3.49737e-05,3.49737e-05
149,1633.27,0.79899,1.20774,1.80909,0.93612,0,0.85087,0.79839,0.88541,0.68487,0.85574,0.78104,0.86952,0.58724,0.77702,1.12528,1.83896,0.94021,0,2.38714e-05,2.38714e-05,2.38714e-05
150,1703.49,0.79556,1.18542,1.80019,0.93312,0,0.85242,0.79747,0.88633,0.6849,0.85909,0.78268,0.87078,0.58646,0.77876,1.12657,1.84012,0.94056,0,1.27692e-05,1.27692e-05,1.27692e-05
